iter	RMSE
0	1.059763539
1	1.05359125
2	1.047339224
3	1.040856575
4	1.035249483
5	1.030345823
6	1.024464333
7	1.018748383
8	1.014070609
9	1.008203207
10	1.00291407
11	0.9984577343
12	0.9942553206
13	0.9885639865
14	0.9840507703
15	0.9795782358
16	0.9750196412
17	0.972140785
18	0.9670209746
19	0.9638150391
20	0.9598113343
21	0.9564228184
22	0.9521621229
23	0.9490252873
24	0.945828375
25	0.9427021987
26	0.9397571176
27	0.9359976143
28	0.9328656848
29	0.9301168176
30	0.9265949025
31	0.9239653589
32	0.9220390842
33	0.9191124564
34	0.9160693586
35	0.9129460182
36	0.9112412787
37	0.9083848053
38	0.9062889744
39	0.9039128289
40	0.9018594795
41	0.8998537069
42	0.8978392439
43	0.8952526894
44	0.8926335097
45	0.8903075971
46	0.8884090111
47	0.886442967
48	0.8849609099
49	0.8835238139
50	0.8819853742
51	0.8800710491
52	0.8784964526
53	0.8767890744
54	0.8755521947
55	0.8737806901
56	0.8720402479
57	0.871151048
58	0.8698219641
59	0.8691306063
60	0.8680771966
61	0.8674238851
62	0.8661521348
63	0.8647682947
64	0.8634709566
65	0.8619347297
66	0.8603999764
67	0.8593104448
68	0.8583770784
69	0.8572242285
70	0.8562042083
71	0.8550667498
72	0.8540450925
73	0.8529995989
74	0.852414996
75	0.8510279036
76	0.8503669799
77	0.8491436589
78	0.8483605586
79	0.8472059117
80	0.8462096582
81	0.8451651117
82	0.844158539
83	0.8429618544
84	0.8425492062
85	0.8418787636
86	0.8405452332
87	0.8398927455
88	0.8391382409
89	0.8384165882
90	0.8376265359
91	0.8372184034
92	0.8362775764
93	0.8354143194
94	0.8345287278
95	0.8337626067
96	0.832842275
97	0.8317113607
98	0.831022293
99	0.8306201745
100	0.8298720548
101	0.829214461
102	0.8285577161
103	0.8279771408
104	0.8273617117
105	0.8266071331
106	0.8260367036
107	0.8252264045
108	0.8245957949
109	0.8239461272
110	0.8233322121
111	0.8227544952
112	0.8223699846
113	0.8218632302
114	0.8212727385
115	0.8206214333
