iter	Passed	Remaining
0	3	2558
1	6	2456
2	10	2494
3	13	2367
4	16	2274
5	18	2232
6	21	2204
7	25	2209
8	27	2184
9	30	2149
10	33	2143
11	36	2121
12	39	2127
13	42	2117
14	45	2106
15	48	2096
16	51	2101
17	54	2104
18	57	2082
19	60	2081
20	62	2073
21	65	2065
22	68	2055
23	71	2055
24	75	2069
25	77	2052
26	80	2050
27	84	2057
28	87	2063
29	90	2056
30	92	2036
31	95	2040
32	99	2042
33	102	2037
34	105	2043
35	108	2042
36	111	2040
37	114	2036
38	118	2039
39	121	2041
40	124	2046
41	127	2037
42	130	2040
43	134	2043
44	137	2040
45	140	2035
46	143	2032
47	146	2028
48	149	2025
49	152	2026
50	156	2035
51	159	2033
52	163	2037
53	167	2040
54	170	2042
55	173	2040
56	176	2033
57	178	2012
58	181	2012
59	182	1988
60	186	1989
61	187	1973
62	191	1974
63	194	1971
64	197	1972
65	201	1973
66	204	1974
67	208	1978
68	211	1973
69	215	1975
70	219	1985
71	222	1981
72	224	1969
73	227	1966
74	231	1965
75	233	1960
76	237	1961
77	240	1959
78	242	1944
79	245	1943
80	248	1941
81	252	1941
82	255	1939
83	258	1938
84	259	1919
85	263	1919
86	266	1918
87	270	1918
88	273	1914
89	276	1913
90	280	1917
91	283	1916
92	287	1915
93	290	1912
94	293	1912
95	297	1910
96	300	1907
97	303	1906
98	307	1905
99	310	1903
100	313	1902
101	317	1900
102	320	1899
103	323	1896
104	327	1894
105	330	1892
106	333	1889
107	336	1886
108	340	1885
109	343	1882
110	346	1880
111	350	1880
112	353	1877
113	356	1873
114	359	1871
115	363	1869
116	366	1868
117	370	1867
118	373	1863
119	377	1864
120	381	1864
121	384	1861
122	388	1865
123	392	1865
124	396	1863
125	399	1860
126	402	1858
127	405	1852
128	408	1849
129	411	1847
130	414	1843
131	416	1831
132	419	1829
133	421	1823
134	425	1820
135	428	1819
136	431	1815
137	434	1812
138	438	1809
139	441	1807
140	444	1804
141	448	1802
142	451	1801
143	455	1800
144	459	1798
145	463	1798
146	466	1795
147	470	1795
148	473	1791
149	476	1787
150	479	1784
151	481	1777
152	485	1775
153	488	1773
154	491	1769
155	494	1767
156	498	1763
157	501	1762
158	505	1759
159	508	1757
160	512	1755
161	515	1753
162	519	1751
163	522	1748
164	525	1745
165	528	1742
166	532	1739
167	535	1736
168	538	1733
169	542	1731
170	545	1729
171	549	1727
172	552	1724
173	555	1721
174	559	1718
175	562	1717
176	566	1714
177	569	1711
178	572	1708
179	576	1705
180	579	1703
181	582	1699
182	586	1697
183	588	1693
184	591	1689
185	595	1687
186	598	1684
187	601	1679
188	603	1673
189	606	1670
190	609	1667
191	613	1663
192	616	1660
193	619	1656
194	622	1654
195	625	1650
196	626	1642
197	630	1639
198	634	1640
199	638	1638
200	641	1634
201	645	1631
202	647	1625
203	650	1623
204	653	1619
205	656	1616
206	660	1613
207	662	1609
208	665	1605
209	668	1601
210	671	1597
211	674	1593
212	677	1590
213	680	1585
214	683	1582
215	685	1578
216	689	1576
217	692	1572
218	696	1570
219	699	1567
220	702	1563
221	705	1560
222	708	1557
223	711	1552
224	714	1549
225	717	1546
226	720	1542
227	723	1539
228	725	1533
229	728	1530
230	732	1527
231	735	1524
232	738	1521
233	741	1518
234	744	1515
235	747	1511
236	750	1508
237	753	1504
238	756	1500
239	759	1497
240	762	1493
241	765	1489
242	768	1486
243	771	1483
244	775	1480
245	778	1477
246	780	1473
247	783	1469
248	784	1462
249	787	1459
250	791	1456
251	794	1452
252	797	1449
253	800	1446
254	802	1442
255	806	1439
256	809	1437
257	812	1433
258	816	1430
259	818	1426
260	821	1423
261	824	1419
262	828	1416
263	830	1413
264	834	1410
265	836	1406
266	839	1402
267	842	1399
268	846	1396
269	849	1393
270	852	1389
