iter	RMSE
0	34.55772214
1	33.80533925
2	33.10111599
3	32.30891429
4	31.57077329
5	31.00821257
6	30.2226212
7	29.65111809
8	29.16900925
9	28.72943829
10	28.34383178
11	27.88442493
12	27.55957472
13	27.30906315
14	27.00697999
15	26.59302573
16	26.17577043
17	25.75360445
18	25.54468323
19	25.35880623
20	25.17158546
21	24.94461802
22	24.65540246
23	24.29931011
24	24.08931837
25	23.84921274
26	23.64537703
27	23.45467899
28	23.23952478
29	23.06296444
30	22.8963386
31	22.68858203
32	22.51960348
33	22.35369126
34	22.1325287
35	21.98574827
36	21.84671325
37	21.61733325
38	21.501087
39	21.32526038
40	21.20950499
41	21.05966421
42	20.91925306
43	20.72289389
44	20.61827316
45	20.47164638
46	20.30696418
47	20.20797919
48	19.96271594
49	19.8119855
50	19.67864054
51	19.58835054
52	19.52021777
53	19.41846072
54	19.33638782
55	19.23027962
56	19.11921816
57	19.05225421
58	18.93042845
59	18.80137552
60	18.71067605
61	18.52120539
62	18.47586269
63	18.32546849
64	18.18376659
65	18.09986074
66	17.99037419
67	17.91068484
68	17.81108179
69	17.67049089
70	17.55774546
71	17.51627678
72	17.43264988
73	17.34595141
74	17.30773892
75	17.25828712
76	17.20901617
77	17.18983083
78	17.12720382
79	17.08387063
80	17.0140272
81	16.90348878
82	16.80818396
83	16.78031122
84	16.64989929
85	16.53625033
86	16.46521914
87	16.44942536
88	16.36446922
89	16.30458488
90	16.20402087
91	16.16433169
92	16.09884234
93	16.07456962
94	16.00405314
95	15.92923629
96	15.88829096
97	15.81236342
98	15.70404851
99	15.63234833
