article_id,citations_year_1_exact,citations_year_2_exact,citations_first_2y_exact
W2790329997,18,37,55
W3095638759,50,119,169
W3002479026,122,104,226
W2792040353,14,33,47
W3035993398,67,117,184
W3156629428,47,57,104
W3021404478,3,22,25
W2899925677,7,21,28
W3208386427,18,53,71
W3202470152,32,70,102
W2911189668,7,22,29
W2791767244,4,16,20
W3187077618,19,37,56
W2799878667,20,30,50
W3046623091,13,28,41
W3010323725,7,27,34
W3002630908,80,47,127
W2912851480,6,19,25
W4211017947,89,200,289
W3185137361,62,151,213
W3199557694,45,108,153
W2945642553,26,81,107
W2993667053,1,3,4
W4413783405,3,0,3
W3014670187,0,0,0
W4309472115,2,1,3
W4413271797,2,0,2
W4404100904,3,0,3
W4407929856,2,0,2
W4412568338,0,0,0
W4414158430,0,0,0
W4416960542,0,0,0
W4417172214,0,0,0
W2980798923,30,108,138
W3135664743,36,113,149
W2913953424,11,57,68
W3155336766,65,93,158
W3034731061,113,137,250
W3000487497,27,44,71
W3046790002,76,120,196
W4210522281,56,100,156
W2809367743,19,24,43
W3084086363,128,86,214
W3043476650,19,60,79
W3106596460,9,33,42
W4317612782,19,53,72
W2955692323,8,27,35
W2819066463,8,14,22
W3104987825,11,19,30
W2895008079,6,15,21
W4210647038,9,30,39
W4223640201,15,25,40
W53229177,8,4,12
W4388513244,19,43,62
W4320004711,10,28,38
W2902105002,2,7,9
W3025381929,7,8,15
W3128348971,4,11,15
W2938163888,1,7,8
W3175061140,9,13,22
W2887976889,1,9,10
W4367183371,10,9,19
W4226514825,2,3,5
W3047420215,11,25,36
W3111297976,0,0,0
W3197841408,0,0,0
W2800720856,15,60,75
W3044121320,12,35,47
W2999616190,18,30,48
W2809408555,2,8,10
W2941454126,10,11,21
W2995326441,5,22,27
W4212812143,6,29,35
W3185048752,8,10,18
W2962838148,3,7,10
W3104530211,9,6,15
W2792023569,4,6,10
W3210083655,4,27,31
W2904236185,1,6,7
W3014876572,1,6,7
W3118453831,2,8,10
W3135994899,5,8,13
W3003713250,1,6,7
W3105914481,1,6,7
W4389092833,6,13,19
W3113353180,0,9,9
W4353065287,1,9,10
W4382197419,3,5,8
W4391744348,4,14,18
W3216348229,1,6,7
W4401928115,5,5,10
W4399328071,3,6,9
W2915058042,2,9,11
W2999753387,1,1,2
W2887956858,1,4,5
W2982103400,3,10,13
W3083059538,3,2,5
W4220845615,5,9,14
W2938155213,2,1,3
W4285676306,7,8,15
W3087622136,0,4,4
W3088893507,0,2,2
W3193819449,1,4,5
W4224936410,5,5,10
W2792560235,3,6,9
W4288084502,2,5,7
W2951363837,1,5,6
W4380202445,0,8,8
W2897686303,2,3,5
W4385679015,2,6,8
W4393210965,2,10,12
W4285494398,0,3,3
W4307574221,1,3,4
W4386954546,0,3,3
W4392438800,3,3,6
W3092706838,0,2,2
W3109608912,0,1,1
W4386832586,1,2,3
W4396691583,2,3,5
W4392094436,1,2,3
W4408712587,4,0,4
W4396662524,2,1,3
W4406593836,1,1,2
W4389824972,0,0,0
W4416385408,1,0,1
W2794081146,6,2,8
W3199208220,5,0,5
W2891517203,0,1,1
W2917097452,4,1,5
W3178952143,0,0,0
W2908916470,1,3,4
W2948188879,2,2,4
W2782719449,2,3,5
W2897492098,3,3,6
W3033790928,2,1,3
W3195631697,1,1,2
W4387989440,2,3,5
W3174963908,0,2,2
W4388680992,3,2,5
W2896142853,1,1,2
W3088313550,0,0,0
W4402230255,1,1,2
W2955332885,1,0,1
W3083656464,0,0,0
W2904403745,1,1,2
W2970543632,0,0,0
W2805475395,0,1,1
W3134721054,0,1,1
W2921183946,0,0,0
W2887754577,0,0,0
W3118913060,0,0,0
W3129556586,0,0,0
W4396662719,0,0,0
W4403735215,0,0,0
W4405653809,0,0,0
W4413384643,0,0,0
W4415515713,0,0,0
W2887614386,96,290,386
W3027710877,158,310,468
W2939364935,75,201,276
W3164646544,91,227,318
W3132344615,88,182,270
W4379141752,191,314,505
W2810845233,55,127,182
W2794026322,41,75,116
W2783868804,47,80,127
W3121894891,50,87,137
W3202510580,33,75,108
W3165145178,78,93,171
W3079915060,37,85,122
W4320709593,95,114,209
W3027182864,61,62,123
W2800227084,7,43,50
W3199781400,45,77,122
W3115889865,25,47,72
W3120805833,22,70,92
W3015355998,52,91,143
W3000355687,21,79,100
W3112169905,38,61,99
W3082466097,25,48,73
W2794855262,11,17,28
W2787056864,7,27,34
W3194103487,12,36,48
W2898034033,5,14,19
W3111628121,23,21,44
W2884597352,13,18,31
W2894867854,8,17,25
W3004912775,8,16,24
W2808018527,7,8,15
W2807883872,6,16,22
W2914218540,3,14,17
W2947637466,6,11,17
W2941118999,8,13,21
W3138298066,14,18,32
W2904428292,5,7,12
W2905633079,3,4,7
W2906293461,1,4,5
W2892194064,0,7,7
W2935882959,4,5,9
W3048800695,3,3,6
W2952269345,2,1,3
W4394934392,1,5,6
W3005096260,2,4,6
W2974352046,0,3,3
W4315621382,1,2,3
W4213336009,0,3,3
W3201538360,3,0,3
W4221020008,0,0,0
W3196375261,30,113,143
W3135705482,40,94,134
W2893311698,3,17,20
W3206706771,20,55,75
W3089203402,7,30,37
W2954141634,12,35,47
W4316464889,34,67,101
W2894867854,8,17,25
W4213187198,29,40,69
W2985829986,10,20,30
W3170687972,16,20,36
W4386713820,29,35,64
W2947294918,4,22,26
W2792092344,7,12,19
W3204341673,11,18,29
W3153681254,4,19,23
W3203659197,5,14,19
W4220984798,9,24,33
W3082570636,7,12,19
W2906601935,7,5,12
W3169153826,11,14,25
W2942708618,5,7,12
W2803307850,3,5,8
W3007882797,7,8,15
W3105174717,6,13,19
W3100208812,4,8,12
W4221048141,7,13,20
W3047094998,1,6,7
W4224268080,4,10,14
W4294042769,14,11,25
W3004103484,41,61,102
W2799888831,14,37,51
W4313826145,66,180,246
W3002291039,9,33,42
W4212999574,6,28,34
W3080442490,11,12,23
W3166940432,8,24,32
W2910359053,1,7,8
W2955811376,1,6,7
W2954950083,6,8,14
W2874314288,0,6,6
W4281383045,2,14,16
W2985246869,3,6,9
W4393199006,19,26,45
W2807334829,2,2,4
W2901728515,0,3,3
W2921370858,5,7,12
W4384557413,10,15,25
W4380990085,6,13,19
W4404726991,8,18,26
W4206169884,0,3,3
W4206133561,1,8,9
W4282920926,0,1,1
W2806277506,3,3,6
W2885480103,2,1,3
W2914490130,2,1,3
W4238487483,0,7,7
W2943960172,2,8,10
W3130416631,5,7,12
W2804094548,2,1,3
W2790858493,1,2,3
W2999269041,5,2,7
W2889448944,3,3,6
W3026085232,3,11,14
W3119300158,3,5,8
W2963648586,3,11,14
W3017242165,4,4,8
W3127970642,2,7,9
W3143148242,4,4,8
W4210886202,4,10,14
W3167556499,1,7,8
W4378070202,150,265,415
W3044067219,38,59,97
W2988837284,19,64,83
W2806993282,15,24,39
W4293770982,42,96,138
W4221041604,28,75,103
W2897830120,11,28,39
W2897459387,7,28,35
W3103173649,12,33,45
W3160019526,15,27,42
W2901529854,6,12,18
W3047161383,17,25,42
