article_id,publication_year,publication_date,journal_display_name,author_type,topic_subfield,topic_field,topic_domain,type,language,source_type,oa_status,primary_topic_score,authors_count,countries_distinct_count,institutions_distinct_count,locations_count,referenced_works_count,apc_list_value_usd,apc_paid_value_usd,citation_norm_percentile,total_citations,is_oa,any_repository_has_fulltext,primary_location_is_oa,source_is_oa,source_is_in_doaj,source_is_core,has_fulltext,queried_author_is_corresponding,is_in_top_1_percent,is_in_top_10_percent,n_keywords,keywords_score_mean,keywords_score_max,sdgs,funders_count,mesh_count,title_word_count,abstract_word_count,citations_first_2y,citations_first_3y,normalized_3y_cites_exact,citations_per_year_3y,citations_year_1_exact,citations_year_2_exact,citations_first_2y_exact,normalized_2y_cites_exact
W2790329997,2018,2018-01-17,Global Change Biology,first,Soil Science,Agricultural and Biological Sciences,Life Sciences,review,en,journal,closed,0.9991000294685364,1,1,1,2,180,4120.0,,0.99944936,828,0,0,0,0,0,1,0,1,1,1,12.0,0.40601931760708493,0.7453610897064209,1,0,0,14,270,49.0,119.0,39.666666666666664,39.666666666666664,18,37,55,55
W3095638759,2020,2020-10-27,Nature Communications,middle,Soil Science,Agricultural and Biological Sciences,Life Sciences,review,en,journal,gold,0.9965999722480774,20,9,20,10,78,4808.0,4808.0,0.99971439,743,1,1,1,1,1,1,1,0,1,1,15.0,0.43047700126965843,0.8287668228149414,1,0,0,7,115,73.0,193.0,64.33333333333333,64.33333333333333,50,119,169,169
W3002479026,2020,2020-01-23,Land,middle,Plant Science,Agricultural and Biological Sciences,Life Sciences,review,en,journal,gold,0.991100013256073,14,4,14,5,148,2165.0,2165.0,0.99987294,680,1,1,1,1,1,1,0,0,1,1,18.0,0.38591987060176003,0.797595739364624,1,0,0,10,195,209.0,326.0,108.66666666666667,108.66666666666667,122,104,226,226
W2792040353,2018,2018-02-27,Agronomy for Sustainable Development,middle,Biomedical Engineering,Engineering,Physical Sciences,review,en,journal,bronze,0.9983999729156494,6,2,6,3,221,2790.0,,0.99773668,486,1,1,1,0,0,1,1,0,1,1,13.0,0.38909849753746617,0.5837901830673218,1,2,0,8,0,43.0,97.0,32.333333333333336,32.333333333333336,14,33,47,47
W3035993398,2020,2020-06-23,Food Security,first,Plant Science,Agricultural and Biological Sciences,Life Sciences,review,en,journal,bronze,0.9988999962806702,1,1,1,4,16,3790.0,,0.99971864,483,1,1,1,0,0,1,1,1,1,1,18.0,0.4072250359588199,0.7602675557136536,1,0,0,17,0,130.0,241.0,80.33333333333333,80.33333333333333,67,117,184,184
W3156629428,2021,2021-04-19,Geoderma Regional,first,Soil Science,Agricultural and Biological Sciences,Life Sciences,article,en,journal,closed,0.97079998254776,22,13,22,1,161,2640.0,,0.99952089,454,0,0,0,0,0,1,0,1,1,1,12.0,0.34544629355271655,0.5097874999046326,0,0,0,16,0,84.0,164.0,54.666666666666664,54.666666666666664,47,57,104,104
W3021404478,2020,2020-05-07,Agronomy Journal,first,Soil Science,Agricultural and Biological Sciences,Life Sciences,article,en,journal,closed,0.9998000264167786,1,1,1,1,110,1350.0,,0.99649094,396,0,0,0,0,0,1,0,1,1,1,13.0,0.4661738803753486,0.6935785412788391,1,0,0,6,168,12.0,60.0,20.0,20.0,3,22,25,25
W2899925677,2018,2018-11-01,Journal of Soil and Water Conservation,first,Ecology,Environmental Science,Physical Sciences,article,en,journal,bronze,0.9997000098228456,15,6,15,2,77,,,0.99494576,369,1,0,1,0,0,1,1,1,1,1,18.0,0.4655711203813553,0.8021682500839233,1,0,0,7,195,8.0,32.0,10.666666666666666,10.666666666666666,7,21,28,28
W3208386427,2021,2021-11-02,Global Change Biology,middle,Soil Science,Agricultural and Biological Sciences,Life Sciences,review,en,journal,closed,0.9998999834060668,7,3,7,2,148,4120.0,,0.99808354,314,0,0,0,0,0,1,0,0,1,1,12.0,0.4396824687719345,0.770577609539032,1,1,0,16,279,26.0,78.0,26.0,26.0,18,53,71,71
W3202470152,2021,2021-09-29,Food Policy,middle,Ecology,Environmental Science,Physical Sciences,article,en,journal,hybrid,0.9994999766349792,46,12,46,8,302,3370.0,3370.0,0.99896742,311,1,1,1,0,0,1,0,0,1,1,17.0,0.4172309917562148,0.6277031898498535,1,1,0,18,255,51.0,127.0,42.333333333333336,42.333333333333336,32,70,102,102
W2911189668,2019,2019-01-09,Field Crops Research,last,Soil Science,Agricultural and Biological Sciences,Life Sciences,article,en,journal,closed,0.9998999834060668,5,2,5,1,60,3970.0,,0.99806796,279,0,0,0,0,0,1,0,0,1,1,17.0,0.4332432904664208,0.8512426614761353,1,0,0,20,0,27.0,69.0,23.0,23.0,7,22,29,29
W2791767244,2018,2018-03-09,Soil and Tillage Research,first,Soil Science,Agricultural and Biological Sciences,Life Sciences,article,en,journal,closed,0.9994999766349792,1,1,1,1,53,4230.0,,0.99432396,258,0,0,0,0,0,1,0,1,1,1,11.0,0.40616108070720325,0.7142682671546936,1,0,0,9,0,18.0,46.0,15.333333333333334,15.333333333333334,4,16,20,20
W3187077618,2021,2021-08-04,Philosophical Transactions of the Royal Society B Biological Sciences,first,Soil Science,Agricultural and Biological Sciences,Life Sciences,review,en,journal,hybrid,0.9986000061035156,4,4,4,3,120,,,0.99790932,255,1,1,1,0,0,1,0,1,1,1,16.0,0.3860784210264683,0.7284878492355347,0,2,0,8,228,38.0,77.0,25.666666666666668,25.666666666666668,19,37,56,56
W2799878667,2018,2018-04-24,Journal of Cleaner Production,middle,Soil Science,Agricultural and Biological Sciences,Life Sciences,article,en,journal,closed,0.9937999844551086,8,2,8,1,84,4100.0,,0.99551019,247,0,0,0,0,0,1,0,0,1,1,15.0,0.4782414972782135,0.8384072184562683,1,0,0,14,0,47.0,63.0,21.0,21.0,20,30,50,50
W3046623091,2020,2020-08-01,Journal of Soil and Water Conservation,first,Forestry,Agricultural and Biological Sciences,Life Sciences,article,en,journal,bronze,0.9860000014305116,1,0,1,1,14,,,0.99976529,246,1,0,1,0,0,1,1,1,1,1,11.0,0.35701713236895477,0.7525629997253418,1,0,0,6,14,24.0,57.0,19.0,19.0,13,28,41,41
