iter	Passed	Remaining
0	2	211
1	3	163
2	4	149
3	5	136
4	6	128
5	7	123
6	8	118
7	10	115
8	11	111
9	12	109
10	13	108
11	15	110
12	16	112
13	18	110
14	19	110
15	20	108
16	21	105
17	22	103
18	23	101
19	24	99
20	25	97
21	26	95
22	28	94
23	29	94
24	31	95
25	32	93
26	34	92
27	35	90
28	36	89
29	37	87
30	38	86
31	39	84
32	40	83
33	42	81
34	43	80
35	44	79
36	46	79
37	47	77
38	49	76
39	50	75
40	51	73
41	52	72
42	53	70
43	54	69
44	55	68
45	56	66
46	58	65
47	59	64
48	61	64
49	62	62
50	64	61
51	65	60
52	66	59
53	67	57
54	68	56
55	69	54
56	71	53
57	72	52
58	73	50
59	74	49
60	76	48
61	78	47
62	79	46
63	80	45
64	81	44
65	83	42
66	84	41
67	85	40
68	86	38
69	87	37
70	89	36
71	91	35
72	93	34
73	94	33
74	95	31
75	96	30
76	97	29
77	99	27
78	100	26
79	101	25
80	102	24
81	103	22
82	105	21
83	106	20
84	108	19
85	109	17
86	111	16
87	112	15
88	113	14
89	114	12
90	115	11
91	116	10
92	117	8
93	119	7
94	121	6
95	122	5
96	124	3
97	125	2
98	126	1
99	127	0
