journal_name,impact_factor
Joule,23.776845637583893
Nature Reviews Earth & Environment,19.357400722021662
Annual Review of Plant Biology,19.10958904109589
Nature Sustainability,18.643115942028984
UTS ePRESS (University of Technology Sydney),17.666666666666668
Science,17.321177223288547
CGSPace A Repository of Agricultural Research Outputs (Consultative Group for International Agricultural Research),16.285714285714285
Nature Communications,14.686408614668219
Renewable and Sustainable Energy Reviews,13.90786136939983
Biochar,13.42042042042042
Comprehensive Reviews in Food Science and Food Safety,11.344827586206897
Nature Climate Change,11.081346423562412
Science Advances,10.693634368140483
Nature Geoscience,10.63305785123967
Nature Food,10.624719101123596
Soil Biology and Biochemistry,10.585074626865671
Annual Review of Environment and Resources,10.573770491803279
Water Research,10.554746187115866
The Science of The Total Environment,9.331574539363483
The Plant Cell,9.247297297297298
Earth system science data,9.056338028169014
Remote Sensing of Environment,8.951178451178452
Environmental Science & Technology,8.822958210508062
Molecular Plant,8.707589285714286
Earth-Science Reviews,8.622291021671826
Computers and Electronics in Agriculture,8.570694967476891
Global Change Biology,8.292735042735043
Nature Plants,8.266862170087977
ISPRS Journal of Photogrammetry and Remote Sensing,8.252173913043478
One Earth,8.117154811715482
Artificial Intelligence in Agriculture,8.079754601226995
Journal of Environmental Management,7.666702116345847
Science Bulletin,7.442789438050101
Proceedings of the National Academy of Sciences,7.197643442622951
International Journal of Biological Macromolecules,7.182903893172842
PLoS Medicine,7.093394077448747
Global Sustainability,7.064516129032258
Heliyon,6.97783334134731
Antioxidants,6.9729805797917255
ACS Applied Materials & Interfaces,6.9123576430643
Environmental Research,6.7883061049011175
Communications Earth & Environment,6.693235674278328
Current Opinion in Biotechnology,6.632398753894081
Earth s Future,6.336165048543689
Fuel,6.309632743909979
Trends in Plant Science,6.300438596491228
Field Crops Research,6.176706827309237
Biology and Fertility of Soils,6.15
Land Use Policy,6.108303249097473
Composite Structures,6.091434071222329
New Phytologist,6.087591240875913
Precision Agriculture,6.065843621399177
Journal of Hydrology,6.027727272727272
Soil and Tillage Research,6.021904761904762
Global Food Security,6.0162162162162165
Plant Phenomics,5.92578125
Plant Stress,5.889970788704966
Agricultural Water Management,5.815290519877676
Geoderma,5.7514450867052025
Hydrology and earth system sciences,5.731601731601732
Agronomy for Sustainable Development,5.666666666666667
Industrial Crops and Products,5.613699170943545
Grain & Oil Science and Technology,5.605263157894737
Water Resources Research,5.60251572327044
Biosystems Engineering,5.544378698224852
EES Catalysis,5.538461538461538
European Journal of Agronomy,5.537735849056604
Expert Reviews in Molecular Medicine,5.467391304347826
Agriculture Ecosystems & Environment,5.412609736632083
PLANT PHYSIOLOGY,5.37523931078494
International Journal of Molecular Sciences,5.32441598892542
Cell Reports Physical Science,5.282169117647059
Plant Cell & Environment,5.275790921595599
Life Sciences,5.266123982467126
Foods,5.21851662404092
Plant Methods,5.2004950495049505
Farming System,5.186274509803922
Communications Biology,5.185981956974324
Geography and sustainability,5.127572016460905
Journal of Agricultural and Food Chemistry,5.113926119646943
SOIL,5.065217391304348
Environmental and Experimental Botany,5.01948051948052
Environmental Science and Pollution Research,4.963636363636364
Journal of Experimental Botany,4.9457302474062255
Agricultural Systems,4.8856749311294765
Food Policy,4.878787878787879
mSystems,4.831271091113611
Agricultural and Forest Meteorology,4.762177650429799
Scientific Data,4.715434083601286
Clean Technologies,4.708
Frontiers in Artificial Intelligence,4.702270815811606
The International Journal of Life Cycle Assessment,4.661246612466124
International Journal of Applied Earth Observation and Geoinformation,4.657407407407407
Plant Physiology and Biochemistry,4.644370122630992
CATENA,4.643133462282399
npj Sustainable Agriculture,4.580882352941177
University of Southern Queensland ePrints (University of Southern Queensland),4.5
