article_id,title,publication_date,publication_year,type,author_type,queried_author,general_h_index,general_i10_index,author_position,is_corresponding_author,n_authors,journal_display_name,journal_publisher,is_oa,oa_status,primary_topic,topic_subfield,topic_field,topic_domain,top_concepts,keywords,keywords_very_specific,keywords_specific,keywords_intermediate,keywords_broad,keywords_score_high,keywords_score_medium,keywords_score_low,sdgs,total_citations,percentile_min,percentile_max,citation_norm_percentile,n_references,citations_year_6,citations_year_5,citations_year_4,citations_year_3,citations_year_2,citations_year_1,citations_year_0,citations_year_7,citations_year_8,author_total_citations
https://openalex.org/W2981104727,"The Community Land Model Version 5: Description of New Features, Benchmarking, and Impact of Forcing Uncertainty",2019-10-19,2019,article,Collaborator,Jinyun Tang,42,69,middle,False,56,Journal of Advances in Modeling Earth Systems,Wiley,True,gold,Peatlands and Wetlands Ecology,Ecology,Environmental Science,Physical Sciences,"['Forcing (mathematics)', 'Benchmarking', 'Computer science', 'Climatology', 'Environmental science']",Forcing (mathematics) | Benchmarking | Computer science | Climatology | Environmental science | Meteorology | Geology | Geography,,,Forcing (mathematics),Benchmarking | Computer science | Climatology | Environmental science | Meteorology | Geology | Geography,Forcing (mathematics) | Benchmarking,Computer science | Climatology,Environmental science | Meteorology | Geology | Geography,['Sustainable cities and communities'],2069,90.0,100.0,0.99993067,198,338.0,389.0,428.0,354.0,332.0,105.0,17.0,105.0,,6449
https://openalex.org/W2969017260,Increased atmospheric vapor pressure deficit reduces global vegetation growth,2019-08-02,2019,article,Collaborator,Chongya Jiang,38,60,middle,False,25,Science Advances,American Association for the Advancement of Science,True,gold,Plant Water Relations and Carbon Dynamics,Global and Planetary Change,Environmental Science,Physical Sciences,"['Greening', 'Vegetation (pathology)', 'Environmental science', 'Vapour Pressure Deficit', 'Atmospheric pressure']",Greening | Vegetation (pathology) | Environmental science | Vapour Pressure Deficit | Atmospheric pressure | Atmospheric sciences | Water vapor | Climatology | Meteorology | Ecology | Geography | Transpiration | Photosynthesis | Biology | Medicine | Geology | Botany,Atmospheric pressure,Water vapor,Greening,Vegetation (pathology) | Environmental science | Vapour Pressure Deficit | Atmospheric sciences | Climatology | Meteorology | Ecology | Geography | Transpiration | Photosynthesis | Biology | Medicine | Geology | Botany,Greening,Vegetation (pathology) | Environmental science | Vapour Pressure Deficit | Atmospheric pressure | Atmospheric sciences | Water vapor,Climatology | Meteorology | Ecology | Geography | Transpiration | Photosynthesis | Biology | Medicine | Geology | Botany,['Climate action'],1595,98.0,100.0,0.99976398,62,329.0,329.0,328.0,254.0,182.0,78.0,5.0,90.0,,4814
https://openalex.org/W4214637392,Life and death in the soil microbiome: how ecological processes influence biogeochemistry,2022-02-28,2022,review,Collaborator,Jinyun Tang,42,69,middle,False,36,Nature Reviews Microbiology,Nature Portfolio,True,gold,Soil Carbon and Nitrogen Dynamics,Soil Science,Agricultural and Biological Sciences,Life Sciences,"['Biogeochemistry', 'Biology', 'Microbiome', 'Ecology', 'Bioinformatics']",Biogeochemistry | Biology | Microbiome | Ecology | Bioinformatics,,,,Biogeochemistry | Biology | Microbiome | Ecology | Bioinformatics,Biogeochemistry | Biology,Microbiome | Ecology,Bioinformatics,['Climate action'],1008,89.0,100.0,0.99991304,200,,,98.0,325.0,296.0,207.0,81.0,,,6449
https://openalex.org/W3198713248,"Impacts of Plastic Pollution on Ecosystem Services, Sustainable Development Goals, and Need to Focus on Circular Economy and Policy Interventions",2021-09-06,2021,article,Collaborator,Prakash Kumar Jha,26,55,middle,False,12,Sustainability,Multidisciplinary Digital Publishing Institute,True,gold,Microplastics and Plastic Pollution,Pollution,Environmental Science,Physical Sciences,"['Plastic pollution', 'Microplastics', 'Sustainability', 'Reuse', 'Circular economy']",Plastic pollution | Microplastics | Sustainability | Reuse | Circular economy | Business | Environmental planning | Environmental resource management | Natural resource | Life-cycle assessment | Sustainable development | Natural resource economics | Environmental science | Production (economics) | Waste management | Engineering | Ecology | Economics,,Circular economy,Plastic pollution | Life-cycle assessment,Microplastics | Sustainability | Reuse | Business | Environmental planning | Environmental resource management | Natural resource | Sustainable development | Natural resource economics | Environmental science | Production (economics) | Waste management | Engineering | Ecology | Economics,,Plastic pollution | Microplastics | Sustainability | Reuse | Circular economy | Business | Environmental planning | Environmental resource management | Natural resource | Life-cycle assessment | Sustainable development | Natural resource economics | Environmental science | Production (economics),Waste management | Engineering | Ecology | Economics,"['Life in Land', 'Responsible consumption and production']",988,97.0,100.0,0.99959754,337,,90.0,310.0,303.0,201.0,80.0,4.0,,,3137
https://openalex.org/W3198713248,"Impacts of Plastic Pollution on Ecosystem Services, Sustainable Development Goals, and Need to Focus on Circular Economy and Policy Interventions",2021-09-06,2021,article,Target_author,Vara Prasad,93,360,last,False,12,Sustainability,Multidisciplinary Digital Publishing Institute,True,gold,Microplastics and Plastic Pollution,Pollution,Environmental Science,Physical Sciences,"['Plastic pollution', 'Microplastics', 'Sustainability', 'Reuse', 'Circular economy']",Plastic pollution | Microplastics | Sustainability | Reuse | Circular economy | Business | Environmental planning | Environmental resource management | Natural resource | Life-cycle assessment | Sustainable development | Natural resource economics | Environmental science | Production (economics) | Waste management | Engineering | Ecology | Economics,,Circular economy,Plastic pollution | Life-cycle assessment,Microplastics | Sustainability | Reuse | Business | Environmental planning | Environmental resource management | Natural resource | Sustainable development | Natural resource economics | Environmental science | Production (economics) | Waste management | Engineering | Ecology | Economics,,Plastic pollution | Microplastics | Sustainability | Reuse | Circular economy | Business | Environmental planning | Environmental resource management | Natural resource | Life-cycle assessment | Sustainable development | Natural resource economics | Environmental science | Production (economics),Waste management | Engineering | Ecology | Economics,"['Life in Land', 'Responsible consumption and production']",988,97.0,100.0,0.99959754,337,,90.0,310.0,303.0,201.0,80.0,4.0,,,13383
https://openalex.org/W3209906348,Climate impacts on global agriculture emerge earlier in new generation of climate and crop models,2021-11-01,2021,article,Collaborator,Alex C. Ruane,58,113,middle,False,38,Nature Food,Nature Portfolio,True,bronze,Climate change impacts on agriculture,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences,"['Coupled model intercomparison project', 'Climate model', 'Climate change', 'Environmental science', 'Agriculture']",Coupled model intercomparison project | Climate model | Climate change | Environmental science | Agriculture | Crop yield | Yield (engineering) | Crop | Climatology | Productivity | Atmospheric sciences | Agroforestry | Geography | Agronomy | Ecology | Economics | Biology | Forestry,,,,Coupled model intercomparison project | Climate model | Climate change | Environmental science | Agriculture | Crop yield | Yield (engineering) | Crop | Climatology | Productivity | Atmospheric sciences | Agroforestry | Geography | Agronomy | Ecology | Economics | Biology | Forestry,Coupled model intercomparison project,Climate model | Climate change | Environmental science | Agriculture | Crop yield | Yield (engineering) | Crop | Climatology | Productivity,Atmospheric sciences | Agroforestry | Geography | Agronomy | Ecology | Economics | Biology | Forestry,"['Climate action', 'Zero hunger']",895,90.0,100.0,0.99998563,78,,67.0,308.0,223.0,173.0,105.0,17.0,,,10468
https://openalex.org/W3209906348,Climate impacts on global agriculture emerge earlier in new generation of climate and crop models,2021-11-01,2021,article,Target_author,Hoogenboom,93,468,middle,False,38,Nature Food,Nature Portfolio,True,bronze,Climate change impacts on agriculture,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences,"['Coupled model intercomparison project', 'Climate model', 'Climate change', 'Environmental science', 'Agriculture']",Coupled model intercomparison project | Climate model | Climate change | Environmental science | Agriculture | Crop yield | Yield (engineering) | Crop | Climatology | Productivity | Atmospheric sciences | Agroforestry | Geography | Agronomy | Ecology | Economics | Biology | Forestry,,,,Coupled model intercomparison project | Climate model | Climate change | Environmental science | Agriculture | Crop yield | Yield (engineering) | Crop | Climatology | Productivity | Atmospheric sciences | Agroforestry | Geography | Agronomy | Ecology | Economics | Biology | Forestry,Coupled model intercomparison project,Climate model | Climate change | Environmental science | Agriculture | Crop yield | Yield (engineering) | Crop | Climatology | Productivity,Atmospheric sciences | Agroforestry | Geography | Agronomy | Ecology | Economics | Biology | Forestry,"['Climate action', 'Zero hunger']",895,90.0,100.0,0.99998563,78,,67.0,308.0,223.0,173.0,105.0,17.0,,,8879
https://openalex.org/W3209906348,Climate impacts on global agriculture emerge earlier in new generation of climate and crop models,2021-11-01,2021,article,Collaborator,Cheryl Porter,36,57,middle,False,38,Nature Food,Nature Portfolio,True,bronze,Climate change impacts on agriculture,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences,"['Coupled model intercomparison project', 'Climate model', 'Climate change', 'Environmental science', 'Agriculture']",Coupled model intercomparison project | Climate model | Climate change | Environmental science | Agriculture | Crop yield | Yield (engineering) | Crop | Climatology | Productivity | Atmospheric sciences | Agroforestry | Geography | Agronomy | Ecology | Economics | Biology | Forestry,,,,Coupled model intercomparison project | Climate model | Climate change | Environmental science | Agriculture | Crop yield | Yield (engineering) | Crop | Climatology | Productivity | Atmospheric sciences | Agroforestry | Geography | Agronomy | Ecology | Economics | Biology | Forestry,Coupled model intercomparison project,Climate model | Climate change | Environmental science | Agriculture | Crop yield | Yield (engineering) | Crop | Climatology | Productivity,Atmospheric sciences | Agroforestry | Geography | Agronomy | Ecology | Economics | Biology | Forestry,"['Climate action', 'Zero hunger']",895,90.0,100.0,0.99998563,78,,67.0,308.0,223.0,173.0,105.0,17.0,,,2258
https://openalex.org/W2921025948,The DOE E3SM Coupled Model Version 1: Overview and Evaluation at Standard Resolution,2019-03-16,2019,article,Collaborator,Jinyun Tang,42,69,middle,False,84,Journal of Advances in Modeling Earth Systems,Wiley,True,gold,Climate variability and models,Global and Planetary Change,Environmental Science,Physical Sciences,"['Climatology', 'Climate model', 'Coupled model intercomparison project', 'Environmental science', 'Radiative forcing']",Climatology | Climate model | Coupled model intercomparison project | Environmental science | Radiative forcing | Forcing (mathematics) | Earth system science | Predictability | Meteorology | Atmospheric sciences | Aerosol | Geology | Climate change | Geography | Physics,,,Radiative forcing | Forcing (mathematics) | Aerosol,Climatology | Climate model | Coupled model intercomparison project | Environmental science | Earth system science | Predictability | Meteorology | Atmospheric sciences | Geology | Climate change | Geography | Physics,,Climatology | Climate model | Coupled model intercomparison project | Environmental science | Radiative forcing | Forcing (mathematics) | Earth system science | Predictability,Meteorology | Atmospheric sciences | Aerosol | Geology | Climate change | Geography | Physics,['Life below water'],891,99.0,100.0,0.99973026,145,80.0,129.0,169.0,207.0,160.0,92.0,36.0,18.0,,6449
https://openalex.org/W2884059031,Global assessment of agricultural system redesign for sustainable intensification,2018-07-23,2018,article,Target_author,Vara Prasad,93,360,middle,False,17,Nature Sustainability,Nature Portfolio,True,green,"Agriculture, Land Use, Rural Development",General Agricultural and Biological Sciences,Agricultural and Biological Sciences,Life Sciences,"['Agriculture', 'Business', 'Sustainable agriculture', 'Integrated farming', 'Natural resource economics']",Agriculture | Business | Sustainable agriculture | Integrated farming | Natural resource economics | Sustainability | Sustainable development | Agricultural productivity | Sustainable management | Environmental resource management | Environmental planning | Agroforestry | Agricultural economics | Economics | Geography | Environmental science | Ecology,Sustainable management,Integrated farming,,Agriculture | Business | Sustainable agriculture | Natural resource economics | Sustainability | Sustainable development | Agricultural productivity | Environmental resource management | Environmental planning | Agroforestry | Agricultural economics | Economics | Geography | Environmental science | Ecology,,Agriculture | Business | Sustainable agriculture | Integrated farming | Natural resource economics | Sustainability | Sustainable development | Agricultural productivity | Sustainable management,Environmental resource management | Environmental planning | Agroforestry | Agricultural economics | Economics | Geography | Environmental science | Ecology,['Zero hunger'],866,97.0,100.0,1.0,41,134.0,97.0,117.0,102.0,95.0,53.0,4.0,187.0,76.0,13383
