article_id,title,publication_date,publication_year,type,author_type,queried_author,general_h_index,general_i10_index,author_position,is_corresponding_author,n_authors,journal_display_name,journal_publisher,is_oa,oa_status,primary_topic,topic_subfield,topic_field,topic_domain,top_concepts,keywords,keywords_very_specific,keywords_specific,keywords_intermediate,keywords_broad,keywords_score_high,keywords_score_medium,keywords_score_low,sdgs,total_citations,percentile_min,percentile_max,citation_norm_percentile,n_references,citations_year_6,citations_year_5,citations_year_4,citations_year_3,citations_year_2,citations_year_1,citations_year_0,citations_year_7,citations_year_8,author_total_citations
https://openalex.org/W3198713248,"Impacts of Plastic Pollution on Ecosystem Services, Sustainable Development Goals, and Need to Focus on Circular Economy and Policy Interventions",2021-09-06,2021,article,Target_author,Vara Prasad,93,360,last,False,12,Sustainability,Multidisciplinary Digital Publishing Institute,True,gold,Microplastics and Plastic Pollution,Pollution,Environmental Science,Physical Sciences,"['Plastic pollution', 'Microplastics', 'Sustainability', 'Reuse', 'Circular economy']",Plastic pollution | Microplastics | Sustainability | Reuse | Circular economy | Business | Environmental planning | Environmental resource management | Natural resource | Life-cycle assessment | Sustainable development | Natural resource economics | Environmental science | Production (economics) | Waste management | Engineering | Ecology | Economics,,Circular economy,Plastic pollution | Life-cycle assessment,Microplastics | Sustainability | Reuse | Business | Environmental planning | Environmental resource management | Natural resource | Sustainable development | Natural resource economics | Environmental science | Production (economics) | Waste management | Engineering | Ecology | Economics,,Plastic pollution | Microplastics | Sustainability | Reuse | Circular economy | Business | Environmental planning | Environmental resource management | Natural resource | Life-cycle assessment | Sustainable development | Natural resource economics | Environmental science | Production (economics),Waste management | Engineering | Ecology | Economics,"['Life in Land', 'Responsible consumption and production']",988,97.0,100.0,0.99959754,337,,90.0,310.0,303.0,201.0,80.0,4.0,,,13383
https://openalex.org/W3209906348,Climate impacts on global agriculture emerge earlier in new generation of climate and crop models,2021-11-01,2021,article,Target_author,Hoogenboom,93,468,middle,False,38,Nature Food,Nature Portfolio,True,bronze,Climate change impacts on agriculture,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences,"['Coupled model intercomparison project', 'Climate model', 'Climate change', 'Environmental science', 'Agriculture']",Coupled model intercomparison project | Climate model | Climate change | Environmental science | Agriculture | Crop yield | Yield (engineering) | Crop | Climatology | Productivity | Atmospheric sciences | Agroforestry | Geography | Agronomy | Ecology | Economics | Biology | Forestry,,,,Coupled model intercomparison project | Climate model | Climate change | Environmental science | Agriculture | Crop yield | Yield (engineering) | Crop | Climatology | Productivity | Atmospheric sciences | Agroforestry | Geography | Agronomy | Ecology | Economics | Biology | Forestry,Coupled model intercomparison project,Climate model | Climate change | Environmental science | Agriculture | Crop yield | Yield (engineering) | Crop | Climatology | Productivity,Atmospheric sciences | Agroforestry | Geography | Agronomy | Ecology | Economics | Biology | Forestry,"['Climate action', 'Zero hunger']",895,90.0,100.0,0.99998563,78,,67.0,308.0,223.0,173.0,105.0,17.0,,,8879
https://openalex.org/W2884059031,Global assessment of agricultural system redesign for sustainable intensification,2018-07-23,2018,article,Target_author,Vara Prasad,93,360,middle,False,17,Nature Sustainability,Nature Portfolio,True,green,"Agriculture, Land Use, Rural Development",General Agricultural and Biological Sciences,Agricultural and Biological Sciences,Life Sciences,"['Agriculture', 'Business', 'Sustainable agriculture', 'Integrated farming', 'Natural resource economics']",Agriculture | Business | Sustainable agriculture | Integrated farming | Natural resource economics | Sustainability | Sustainable development | Agricultural productivity | Sustainable management | Environmental resource management | Environmental planning | Agroforestry | Agricultural economics | Economics | Geography | Environmental science | Ecology,Sustainable management,Integrated farming,,Agriculture | Business | Sustainable agriculture | Natural resource economics | Sustainability | Sustainable development | Agricultural productivity | Environmental resource management | Environmental planning | Agroforestry | Agricultural economics | Economics | Geography | Environmental science | Ecology,,Agriculture | Business | Sustainable agriculture | Integrated farming | Natural resource economics | Sustainability | Sustainable development | Agricultural productivity | Sustainable management,Environmental resource management | Environmental planning | Agroforestry | Agricultural economics | Economics | Geography | Environmental science | Ecology,['Zero hunger'],866,97.0,100.0,1.0,41,134.0,97.0,117.0,102.0,95.0,53.0,4.0,187.0,76.0,13383
https://openalex.org/W2903238415,"Drought or/and Heat-Stress Effects on Seed Filling in Food Crops: Impacts on Functional Biochemistry, Seed Yields, and Nutritional Quality",2018-11-27,2018,review,Target_author,Vara Prasad,93,360,middle,False,10,Frontiers in Plant Science,Frontiers Media,True,gold,Seed Germination and Physiology,Plant Science,Agricultural and Biological Sciences,Life Sciences,"['Heat stress', 'Drought stress', 'Biology', 'Agronomy', 'Quality (philosophy)']",Heat stress | Drought stress | Biology | Agronomy | Quality (philosophy) | Fight-or-flight response | Stress (linguistics) | Biotechnology | Biochemistry,,,Fight-or-flight response,Heat stress | Drought stress | Biology | Agronomy | Quality (philosophy) | Stress (linguistics) | Biotechnology | Biochemistry,,Heat stress | Drought stress | Biology | Agronomy | Quality (philosophy) | Fight-or-flight response | Stress (linguistics),Biotechnology | Biochemistry,['Zero hunger'],649,90.0,100.0,0.99936571,229,110.0,117.0,107.0,99.0,61.0,13.0,1.0,112.0,28.0,13383
https://openalex.org/W2942591112,Excessive rainfall leads to maize yield loss of a comparable magnitude to extreme drought in the United States,2019-04-29,2019,article,Target_author,Peng,40,71,last,False,5,Global Change Biology,Wiley,True,hybrid,Climate change impacts on agriculture,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences,"['Yield (engineering)', 'Environmental science', 'Crop yield', 'Crop', 'Agronomy']",Yield (engineering) | Environmental science | Crop yield | Crop | Agronomy | Yield gap | Soil water | Crop insurance | Agriculture | Soil science | Biology | Ecology,,,Crop insurance,Yield (engineering) | Environmental science | Crop yield | Crop | Agronomy | Yield gap | Soil water | Agriculture | Soil science | Biology | Ecology,Yield (engineering),Environmental science | Crop yield | Crop | Agronomy | Yield gap | Soil water | Crop insurance | Agriculture,Soil science | Biology | Ecology,[],592,99.0,100.0,0.99964203,59,112.0,107.0,108.0,101.0,78.0,46.0,7.0,32.0,,5003
https://openalex.org/W2942591112,Excessive rainfall leads to maize yield loss of a comparable magnitude to extreme drought in the United States,2019-04-29,2019,article,Target_author,Kaiyu,70,157,middle,True,5,Global Change Biology,Wiley,True,hybrid,Climate change impacts on agriculture,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences,"['Yield (engineering)', 'Environmental science', 'Crop yield', 'Crop', 'Agronomy']",Yield (engineering) | Environmental science | Crop yield | Crop | Agronomy | Yield gap | Soil water | Crop insurance | Agriculture | Soil science | Biology | Ecology,,,Crop insurance,Yield (engineering) | Environmental science | Crop yield | Crop | Agronomy | Yield gap | Soil water | Agriculture | Soil science | Biology | Ecology,Yield (engineering),Environmental science | Crop yield | Crop | Agronomy | Yield gap | Soil water | Crop insurance | Agriculture,Soil science | Biology | Ecology,[],592,99.0,100.0,0.99964203,59,112.0,107.0,108.0,101.0,78.0,46.0,7.0,32.0,,10410
https://openalex.org/W2944794516,Integrating satellite and climate data to predict wheat yield in Australia using machine learning approaches,2019-05-11,2019,article,Target_author,Kaiyu,70,157,middle,True,11,Agricultural and Forest Meteorology,Elsevier BV,False,closed,Remote Sensing in Agriculture,Ecology,Environmental Science,Physical Sciences,"['Machine learning', 'Crop yield', 'Yield (engineering)', 'Lasso (programming language)', 'Satellite']",Machine learning | Crop yield | Yield (engineering) | Lasso (programming language) | Satellite | Empirical modelling | Random forest | Support vector machine | Predictive modelling | Environmental science | Computer science | Agronomy | Engineering | Simulation,,,,Machine learning | Crop yield | Yield (engineering) | Lasso (programming language) | Satellite | Empirical modelling | Random forest | Support vector machine | Predictive modelling | Environmental science | Computer science | Agronomy | Engineering | Simulation,,Machine learning | Crop yield | Yield (engineering) | Lasso (programming language) | Satellite | Empirical modelling | Random forest | Support vector machine | Predictive modelling | Environmental science | Computer science,Agronomy | Engineering | Simulation,['Climate action'],564,99.0,100.0,0.99927865,122,95.0,110.0,104.0,104.0,93.0,34.0,7.0,17.0,,10410
https://openalex.org/W2944794516,Integrating satellite and climate data to predict wheat yield in Australia using machine learning approaches,2019-05-11,2019,article,Target_author,Peng,40,71,last,False,11,Agricultural and Forest Meteorology,Elsevier BV,False,closed,Remote Sensing in Agriculture,Ecology,Environmental Science,Physical Sciences,"['Machine learning', 'Crop yield', 'Yield (engineering)', 'Lasso (programming language)', 'Satellite']",Machine learning | Crop yield | Yield (engineering) | Lasso (programming language) | Satellite | Empirical modelling | Random forest | Support vector machine | Predictive modelling | Environmental science | Computer science | Agronomy | Engineering | Simulation,,,,Machine learning | Crop yield | Yield (engineering) | Lasso (programming language) | Satellite | Empirical modelling | Random forest | Support vector machine | Predictive modelling | Environmental science | Computer science | Agronomy | Engineering | Simulation,,Machine learning | Crop yield | Yield (engineering) | Lasso (programming language) | Satellite | Empirical modelling | Random forest | Support vector machine | Predictive modelling | Environmental science | Computer science,Agronomy | Engineering | Simulation,['Climate action'],564,99.0,100.0,0.99927865,122,95.0,110.0,104.0,104.0,93.0,34.0,7.0,17.0,,5003
https://openalex.org/W2944794516,Integrating satellite and climate data to predict wheat yield in Australia using machine learning approaches,2019-05-11,2019,article,Target_author,Lobell,112,269,middle,False,11,Agricultural and Forest Meteorology,Elsevier BV,False,closed,Remote Sensing in Agriculture,Ecology,Environmental Science,Physical Sciences,"['Machine learning', 'Crop yield', 'Yield (engineering)', 'Lasso (programming language)', 'Satellite']",Machine learning | Crop yield | Yield (engineering) | Lasso (programming language) | Satellite | Empirical modelling | Random forest | Support vector machine | Predictive modelling | Environmental science | Computer science | Agronomy | Engineering | Simulation,,,,Machine learning | Crop yield | Yield (engineering) | Lasso (programming language) | Satellite | Empirical modelling | Random forest | Support vector machine | Predictive modelling | Environmental science | Computer science | Agronomy | Engineering | Simulation,,Machine learning | Crop yield | Yield (engineering) | Lasso (programming language) | Satellite | Empirical modelling | Random forest | Support vector machine | Predictive modelling | Environmental science | Computer science,Agronomy | Engineering | Simulation,['Climate action'],564,99.0,100.0,0.99927865,122,95.0,110.0,104.0,104.0,93.0,34.0,7.0,17.0,,8561
https://openalex.org/W2901139719,Climate change impact and adaptation for wheat protein,2018-11-22,2018,article,Target_author,Hoogenboom,93,468,middle,False,67,Global Change Biology,Wiley,True,bronze,Plant responses to elevated CO2,Plant Science,Agricultural and Biological Sciences,Life Sciences,"['Climate change', 'Adaptation (eye)', 'Climate change adaptation', 'Environmental science', 'Environmental resource management']",Climate change | Adaptation (eye) | Climate change adaptation | Environmental science | Environmental resource management | Ecology | Biology,,,,Climate change | Adaptation (eye) | Climate change adaptation | Environmental science | Environmental resource management | Ecology | Biology,,Climate change | Adaptation (eye) | Climate change adaptation | Environmental science,Environmental resource management | Ecology | Biology,['Climate action'],532,90.0,100.0,0.99925162,68,89.0,78.0,95.0,73.0,69.0,20.0,1.0,83.0,24.0,8879
https://openalex.org/W2901139719,Climate change impact and adaptation for wheat protein,2018-11-22,2018,article,Target_author,Basso,70,194,middle,False,67,Global Change Biology,Wiley,True,bronze,Plant responses to elevated CO2,Plant Science,Agricultural and Biological Sciences,Life Sciences,"['Climate change', 'Adaptation (eye)', 'Climate change adaptation', 'Environmental science', 'Environmental resource management']",Climate change | Adaptation (eye) | Climate change adaptation | Environmental science | Environmental resource management | Ecology | Biology,,,,Climate change | Adaptation (eye) | Climate change adaptation | Environmental science | Environmental resource management | Ecology | Biology,,Climate change | Adaptation (eye) | Climate change adaptation | Environmental science,Environmental resource management | Ecology | Biology,['Climate action'],532,90.0,100.0,0.99925162,68,89.0,78.0,95.0,73.0,69.0,20.0,1.0,83.0,24.0,5545
