article_id,title,publication_date,publication_year,type,author_type,queried_author,general_h_index,general_i10_index,author_position,is_corresponding_author,n_authors,journal_display_name,journal_publisher,is_oa,oa_status,primary_topic,topic_subfield,topic_field,topic_domain,top_concepts,keywords,sdgs,total_citations,percentile_min,percentile_max,citation_norm_percentile,n_references,citations_year_6,citations_year_5,citations_year_4,citations_year_3,citations_year_2,citations_year_1,citations_year_0,citations_year_8,citations_year_7,author_total_citations
https://openalex.org/W3118915980,The changing risk and burden of wildfire in the United States,2021-01-11,2021,article,Collaborator,Marshall Burke,64,133,first,True,6,Proceedings of the National Academy of Sciences,National Academy of Sciences,True,hybrid,Fire effects on ecosystems,Global and Planetary Change,Environmental Science,Physical Sciences,"['Climate change', 'Stylized fact', 'Smoke', 'Air pollution', 'Environmental science']","['Climate change', 'Stylized fact', 'Smoke', 'Air pollution', 'Environmental science', 'Environmental health', 'Psychological intervention', 'Natural resource economics', 'Environmental planning', 'Geography', 'Environmental resource management', 'Environmental protection', 'Meteorology', 'Medicine']",['Climate action'],646,94.0,100.0,0.99976263,46,,42.0,137.0,166.0,160.0,111.0,28.0,,,9703
https://openalex.org/W2942591112,Excessive rainfall leads to maize yield loss of a comparable magnitude to extreme drought in the United States,2019-04-29,2019,article,Target_author,Kaiyu,69,156,middle,True,5,Global Change Biology,Wiley,True,hybrid,Climate change impacts on agriculture,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences,"['Yield (engineering)', 'Environmental science', 'Crop yield', 'Crop', 'Agronomy']","['Yield (engineering)', 'Environmental science', 'Crop yield', 'Crop', 'Agronomy', 'Yield gap', 'Soil water', 'Crop insurance', 'Agriculture', 'Soil science', 'Biology', 'Ecology']",[],589,99.0,100.0,0.999642,59,112.0,107.0,108.0,101.0,78.0,46.0,7.0,,29.0,10366
https://openalex.org/W2944794516,Integrating satellite and climate data to predict wheat yield in Australia using machine learning approaches,2019-05-11,2019,article,Target_author,Kaiyu,69,156,middle,True,11,Agricultural and Forest Meteorology,Elsevier BV,False,closed,Remote Sensing in Agriculture,Ecology,Environmental Science,Physical Sciences,"['Machine learning', 'Crop yield', 'Yield (engineering)', 'Lasso (programming language)', 'Satellite']","['Machine learning', 'Crop yield', 'Yield (engineering)', 'Lasso (programming language)', 'Satellite', 'Empirical modelling', 'Random forest', 'Support vector machine', 'Predictive modelling', 'Environmental science', 'Computer science', 'Agronomy', 'Engineering', 'Simulation']",['Climate action'],564,99.0,100.0,0.99927865,122,95.0,110.0,104.0,104.0,93.0,34.0,7.0,,17.0,10366
https://openalex.org/W2884325185,Higher temperatures increase suicide rates in the United States and Mexico,2018-07-20,2018,article,Collaborator,Marshall Burke,64,133,first,True,7,Nature Climate Change,Nature Portfolio,False,closed,Climate Change and Health Impacts,"Health, Toxicology and Mutagenesis",Environmental Science,Physical Sciences,"['Suicide rates', 'Recession', 'Suicide prevention', 'Confidence interval', 'Demography']","['Suicide rates', 'Recession', 'Suicide prevention', 'Confidence interval', 'Demography', 'Climate change', 'Geography', 'Injury prevention', 'Poison control', 'Mental health', 'Demographic economics', 'Medicine', 'Environmental health', 'Economics', 'Sociology', 'Psychiatry']",['Climate action'],557,99.0,100.0,0.99860556,49,96.0,85.0,79.0,73.0,56.0,33.0,8.0,19.0,108.0,9703
https://openalex.org/W2901139719,Climate change impact and adaptation for wheat protein,2018-11-22,2018,article,Collaborator,Senthold Asseng,84,230,first,True,67,Global Change Biology,Wiley,True,bronze,Plant responses to elevated CO2,Plant Science,Agricultural and Biological Sciences,Life Sciences,"['Climate change', 'Adaptation (eye)', 'Climate change adaptation', 'Environmental science', 'Environmental resource management']","['Climate change', 'Adaptation (eye)', 'Climate change adaptation', 'Environmental science', 'Environmental resource management', 'Ecology', 'Biology']",['Climate action'],532,90.0,100.0,0.9992516,68,89.0,78.0,95.0,73.0,69.0,20.0,1.0,24.0,83.0,7503
https://openalex.org/W3095582665,30 years of free‐air carbon dioxide enrichment (FACE): What have we learned about future crop productivity and its potential for adaptation?,2020-11-02,2020,review,Collaborator,Elizabeth A. Ainsworth,70,145,first,True,2,Global Change Biology,Wiley,False,closed,Plant responses to elevated CO2,Plant Science,Agricultural and Biological Sciences,Life Sciences,"['Agronomy', 'Crop', 'Nutrient', 'Sorghum', 'Yield (engineering)']","['Agronomy', 'Crop', 'Nutrient', 'Sorghum', 'Yield (engineering)', 'Productivity', 'Crop yield', 'Microclimate', 'Carbon dioxide', 'Growing season', 'Environmental science', 'Nitrogen', 'Biology', 'Chemistry', 'Ecology']","['Zero hunger', 'Responsible consumption and production']",527,96.0,100.0,0.99940544,220,27.0,154.0,106.0,110.0,78.0,49.0,3.0,,,5593
https://openalex.org/W2791592925,A high-performance and in-season classification system of field-level crop types using time-series Landsat data and a machine learning approach,2018-03-18,2018,article,Target_author,Kaiyu,69,156,middle,True,7,Remote Sensing of Environment,Elsevier BV,False,closed,Remote Sensing in Agriculture,Ecology,Environmental Science,Physical Sciences,"['Computer science', 'Field (mathematics)', 'Remote sensing', 'Machine learning', 'Contextual image classification']","['Computer science', 'Field (mathematics)', 'Remote sensing', 'Machine learning', 'Contextual image classification', 'Time series', 'Land cover', 'Artificial intelligence', 'Land use', 'Database', 'Data mining', 'Mathematics', 'Geography', 'Image (mathematics)']",[],522,98.0,100.0,0.99904342,53,96.0,70.0,92.0,77.0,62.0,41.0,6.0,14.0,63.0,10366
https://openalex.org/W3016616248,Digital agriculture to design sustainable agricultural systems,2020-04-16,2020,article,Target_author,Basso,70,193,first,True,2,Nature Sustainability,Nature Portfolio,False,closed,Photovoltaic Systems and Sustainability,Environmental Engineering,Environmental Science,Physical Sciences,"['Agriculture', 'Sustainable agriculture', 'Geospatial analysis', 'Business', 'Agricultural productivity']","['Agriculture', 'Sustainable agriculture', 'Geospatial analysis', 'Business', 'Agricultural productivity', 'Balance (ability)', 'Food systems', 'Balance of nature', 'Environmental resource management', 'Environmental planning', 'Production (economics)', 'Natural resource economics', 'Sustainable production', 'Sustainability', 'Food processing', 'Environmental economics', 'Environmental science', 'Geography', 'Food security', 'Remote sensing', 'Economics', 'Political science', 'Ecology']",['Zero hunger'],499,99.0,100.0,0.99901746,12,34.0,111.0,113.0,96.0,72.0,59.0,14.0,,,5525
https://openalex.org/W3043480203,Using satellite imagery to understand and promote sustainable development,2021-03-18,2021,review,Collaborator,Marshall Burke,64,133,first,True,4,Science,American Association for the Advancement of Science,False,closed,Impact of Light on Environment and Health,Global and Planetary Change,Environmental Science,Physical Sciences,"['Satellite imagery', 'Computer science', 'Field (mathematics)', 'Data science', 'Context (archaeology)']","['Satellite imagery', 'Computer science', 'Field (mathematics)', 'Data science', 'Context (archaeology)', 'Sustainable development', 'Remote sensing', 'Satellite', 'Key (lock)', 'Artificial intelligence', 'Machine learning', 'Geography', 'Ecology', 'Engineering']",[],407,99.0,100.0,0.99894668,144,,43.0,113.0,95.0,60.0,72.0,24.0,,,9703
https://openalex.org/W2909728654,Crop type mapping without field-level labels: Random forest transfer and unsupervised clustering techniques,2019-01-11,2019,article,Collaborator,Sherrie Wang,18,24,first,True,3,Remote Sensing of Environment,Elsevier BV,False,closed,Remote Sensing in Agriculture,Ecology,Environmental Science,Physical Sciences,"['Random forest', 'Computer science', 'Remote sensing', 'Cluster analysis', 'Field (mathematics)']","['Random forest', 'Computer science', 'Remote sensing', 'Cluster analysis', 'Field (mathematics)', 'Artificial intelligence', 'Mixture model', 'Vegetation (pathology)', 'Unsupervised learning', 'Pattern recognition (psychology)', 'Mathematics', 'Geography']",['Zero hunger'],406,90.0,100.0,0.99840482,66,57.0,88.0,68.0,62.0,51.0,43.0,10.0,,26.0,1688
