article_id,queried_author,author_type,publication_year,keyword,keyword_score,keyword_score_level,keyword_doc_frequency,keyword_specificity_level
https://openalex.org/W3000098473,Ciampitti,Target_author,2020,Yield (engineering),0.7016457915306091,medium,1432,broad
https://openalex.org/W3000098473,Ciampitti,Target_author,2020,Growing season,0.5457994937896729,medium,409,broad
https://openalex.org/W3000098473,Ciampitti,Target_author,2020,Crop yield,0.5142731070518494,medium,831,broad
https://openalex.org/W3000098473,Ciampitti,Target_author,2020,Linear regression,0.5034355521202087,medium,17,broad
https://openalex.org/W3000098473,Ciampitti,Target_author,2020,Random forest,0.4931134879589081,medium,62,broad
https://openalex.org/W3000098473,Ciampitti,Target_author,2020,Multivariate statistics,0.46647295355796814,medium,13,broad
https://openalex.org/W3000098473,Ciampitti,Target_author,2020,Bayesian multivariate linear regression,0.4475308060646057,medium,3,specific
https://openalex.org/W3000098473,Ciampitti,Target_author,2020,Precipitation,0.441951721906662,medium,180,broad
https://openalex.org/W3000098473,Ciampitti,Target_author,2020,Statistics,0.4376308023929596,medium,636,broad
https://openalex.org/W3000098473,Ciampitti,Target_author,2020,Satellite,0.4232482612133026,medium,279,broad
https://openalex.org/W3000098473,Ciampitti,Target_author,2020,Climatology,0.40667304396629333,medium,327,broad
https://openalex.org/W3000098473,Ciampitti,Target_author,2020,Mathematics,0.396365225315094,low,1695,broad
https://openalex.org/W3000098473,Ciampitti,Target_author,2020,Environmental science,0.3882594108581543,low,4063,broad
https://openalex.org/W3000098473,Ciampitti,Target_author,2020,Meteorology,0.3520536422729492,low,465,broad
https://openalex.org/W3000098473,Ciampitti,Target_author,2020,Computer science,0.2751666307449341,low,1968,broad
https://openalex.org/W3000098473,Ciampitti,Target_author,2020,Machine learning,0.25451022386550903,low,519,broad
https://openalex.org/W3000098473,Ciampitti,Target_author,2020,Geography,0.2535164952278137,low,2203,broad
https://openalex.org/W3000098473,Ciampitti,Target_author,2020,Agronomy,0.20275118947029114,low,3661,broad
https://openalex.org/W3000098473,Ciampitti,Target_author,2020,Engineering,0.0960136353969574,low,1316,broad
https://openalex.org/W3000098473,Ciampitti,Target_author,2020,Biology,0.08070877194404602,low,4487,broad
https://openalex.org/W2922270385,Ciampitti,Target_author,2019,Straw,0.8178401589393616,high,71,broad
https://openalex.org/W2922270385,Ciampitti,Target_author,2019,Incubation,0.6431056261062622,medium,8,intermediate
https://openalex.org/W2922270385,Ciampitti,Target_author,2019,Agronomy,0.5993822813034058,medium,3661,broad
https://openalex.org/W2922270385,Ciampitti,Target_author,2019,Microbial population biology,0.5992870330810547,medium,31,broad
https://openalex.org/W2922270385,Ciampitti,Target_author,2019,Human fertilization,0.5301961302757263,medium,119,broad
https://openalex.org/W2922270385,Ciampitti,Target_author,2019,Firmicutes,0.5242131948471069,medium,6,intermediate
https://openalex.org/W2922270385,Ciampitti,Target_author,2019,Soil water,0.48116597533226013,medium,826,broad
https://openalex.org/W2922270385,Ciampitti,Target_author,2019,Fertilizer,0.44842085242271423,medium,416,broad
https://openalex.org/W2922270385,Ciampitti,Target_author,2019,Animal science,0.43317556381225586,medium,187,broad
https://openalex.org/W2922270385,Ciampitti,Target_author,2019,Biology,0.43309712409973145,medium,4487,broad
https://openalex.org/W2922270385,Ciampitti,Target_author,2019,Species richness,0.41682887077331543,medium,17,broad
https://openalex.org/W2922270385,Ciampitti,Target_author,2019,Chemistry,0.39564645290374756,low,1257,broad
https://openalex.org/W2922270385,Ciampitti,Target_author,2019,Ecology,0.2680101990699768,low,2602,broad
https://openalex.org/W2922270385,Ciampitti,Target_author,2019,Bacteria,0.23861360549926758,low,78,broad
https://openalex.org/W2804612942,Ciampitti,Target_author,2018,Nitrogen fixation,0.8278431296348572,high,69,broad
https://openalex.org/W2804612942,Ciampitti,Target_author,2018,Fixation (population genetics),0.6073204874992371,medium,12,broad
https://openalex.org/W2804612942,Ciampitti,Target_author,2018,Nitrogen,0.5279656648635864,medium,511,broad
https://openalex.org/W2804612942,Ciampitti,Target_author,2018,Agronomy,0.49463388323783875,medium,3661,broad
https://openalex.org/W2804612942,Ciampitti,Target_author,2018,Fertilizer,0.43450629711151123,medium,416,broad
https://openalex.org/W2804612942,Ciampitti,Target_author,2018,Crop yield,0.42597153782844543,medium,831,broad
https://openalex.org/W2804612942,Ciampitti,Target_author,2018,Chemistry,0.3525813817977905,low,1257,broad
https://openalex.org/W2804612942,Ciampitti,Target_author,2018,Biology,0.32341039180755615,low,4487,broad
https://openalex.org/W2804612942,Ciampitti,Target_author,2018,Biochemistry,0.06847986578941345,low,263,broad
https://openalex.org/W2806985348,Ciampitti,Target_author,2018,Yield (engineering),0.7916730642318726,high,1432,broad
https://openalex.org/W2806985348,Ciampitti,Target_author,2018,Zea mays,0.7022852897644043,medium,169,broad
https://openalex.org/W2806985348,Ciampitti,Target_author,2018,Plant density,0.679583728313446,medium,40,broad
https://openalex.org/W2806985348,Ciampitti,Target_author,2018,Agronomy,0.6201387047767639,medium,3661,broad
https://openalex.org/W2806985348,Ciampitti,Target_author,2018,Seeding,0.572400689125061,medium,44,broad
https://openalex.org/W2806985348,Ciampitti,Target_author,2018,Mathematics,0.40753373503685,medium,1695,broad
https://openalex.org/W2806985348,Ciampitti,Target_author,2018,Biology,0.28098464012145996,low,4487,broad
https://openalex.org/W2806985348,Ciampitti,Target_author,2018,Sowing,0.23825669288635254,low,515,broad
https://openalex.org/W3009047590,Ciampitti,Target_author,2020,Biofuel,0.8612105846405029,high,73,broad
https://openalex.org/W3009047590,Ciampitti,Target_author,2020,Bioenergy,0.694404661655426,medium,67,broad
https://openalex.org/W3009047590,Ciampitti,Target_author,2020,Sweet sorghum,0.6795333027839661,medium,57,broad
https://openalex.org/W3009047590,Ciampitti,Target_author,2020,Biomass (ecology),0.6747214794158936,medium,402,broad
