entity,field,description
Work,id,OpenAlex URL ID  (https://openalex.org/W…)
Work,doi,DOI — canonical external ID for works
Work,title,Full title of the work
Work,publication_year,Integer publication year
Work,publication_date,ISO 8601 full publication date
Work,type,Normalised type: article | book | book-chapter | dataset | dissertation | editorial | erratum | grant | letter | other | paratext | peer-review | posted-content | preprint | proceedings | proceedings-article | reference-entry | report | retraction | review | standard | supplementary-materials
Work,cited_by_count,Total citations received
Work,cited_by_api_url,API URL to retrieve the list of citing works
Work,fwci,Field-Weighted Citation Impact (received / expected)
Work,citation_normalized_percentile.value,FWCI expressed as a percentile
Work,authorships,"[LIST] [{author_position, author:{id,display_name,orcid}, institutions:[{id,display_name,ror,country_code,type}], countries:[], is_corresponding, raw_affiliation_strings, raw_author_name}]"
Work,corresponding_author_ids,[LIST] OpenAlex IDs of corresponding authors
Work,corresponding_institution_ids,[LIST] OpenAlex institution IDs of corresponding author affiliations
Work,authors_count,Number of authors (len of authorships list)
Work,countries_distinct_count,Number of distinct country codes across all authorships
Work,institutions_distinct_count,Number of distinct institutions across all authorships
Work,queried_author_id,OpenAlex ID of the author this work was fetched for
Work,queried_author_position,first | middle | last
Work,queried_author_is_corresponding,Boolean: True when this author is the corresponding author
Work,is_oa,Boolean shortcut for open_access.is_oa
Work,oa_status,diamond | gold | hybrid | bronze | green | closed
Work,source_id,OpenAlex ID of the publishing venue
Work,source_display_name,Name of the journal / venue
Work,source_issn_l,ISSN-L of the venue
Work,source_issn,[LIST] All ISSNs of the venue
Work,source_type,journal | conference | repository | ebook-platform | book-series | metadata
Work,source_is_oa,Boolean: venue is fully open access
Work,source_host_org_name,Publisher name
Work,apc_list_value_usd,Article processing charge list price in USD
Work,apc_paid_value_usd,APC actually paid in USD (when available)
Work,primary_topic_id,OpenAlex ID of the primary topic
Work,primary_topic_name,Display name of the primary topic
Work,primary_subfield_id,OpenAlex ID of the subfield
Work,primary_subfield_name,Display name of the subfield
Work,primary_field_id,OpenAlex ID of the field
Work,primary_field_name,Display name of the field
Work,sustainable_development_goals,[LIST] UN SDGs with scores
Work,referenced_works_count,Number of works cited by this work
Author,id,OpenAlex URL ID (https://openalex.org/A…)
Author,orcid,ORCID URL — canonical external ID for authors
Author,display_name,Author's canonical name in OpenAlex
Author,works_count,Total works attributed to this author
Author,cited_by_count,Total citations across all this author's works
Author,summary_stats.h_index,h-index
Author,summary_stats.i10_index,i10-index (papers with ≥10 citations)
Author,summary_stats.oa_percent,Percentage of works that are open access
Author,summary_stats.2yr_mean_citedness,Mean citations per paper in the last 2 years
Author,summary_stats.2yr_h_index,h-index over the last 2 years
Author,summary_stats.2yr_i10_index,i10-index over the last 2 years
Author,summary_stats.2yr_works_count,Works published in the last 2 years
Author,summary_stats.2yr_cited_by_count,Citations received in the last 2 years
Author,top_topic_id,OpenAlex ID of author's primary topic
Author,top_topic_name,Name of author's primary topic
Author,works_api_url,API URL to retrieve all works by this author
Source,id,OpenAlex URL ID (https://openalex.org/S…)
Source,issn_l,ISSN-L — canonical external ID for sources
Source,issn,[LIST] All ISSNs for this source
Source,display_name,Journal or venue name
Source,abbreviated_title,Abbreviated title from the ISSN Centre
Source,host_organization,OpenAlex ID of host (Publisher or Institution)
Source,host_organization_name,Name of the host organisation
Source,type,journal | conference | repository | ebook-platform | book-series | metadata
Source,is_oa,Boolean: fully open access source
Source,is_in_doaj,Boolean: indexed in DOAJ
Source,is_core,Boolean: indexed in CORE
Source,is_indexed_in_scopus,Boolean: indexed in Scopus
Source,works_count,Total works hosted by this source
Source,cited_by_count,Total citations to all works in this source
Source,summary_stats.h_index,Journal h-index
Source,summary_stats.i10_index,Journal i10-index
Source,summary_stats.oa_percent,Percentage of OA works
Source,summary_stats.2yr_mean_citedness,2-year mean citedness (≈ Impact Factor)
Source,summary_stats.2yr_h_index,h-index over last 2 years
Source,counts_by_year,"[LIST] [{year, works_count, cited_by_count}]"
Source,topics,[LIST] Most common topics in this source
