authfull,inst_name,country,num_papers,total_cites,h_index,hm_index,num_papers_single+first+last,total_cites_single+first+last,composite_score,num_distinct_citing_papers,self_citation_percentage,rank_in_subfield,num_scientists_in_subfield,OP_id,ORCID_match_status
"Lal, Rattan A.",The Ohio State University,usa,1339,10340,43,32.16827597172968,841,6997,4.973028294432613,7047,0.0551,1,88035,A5049890100,2
"KUZYAKOV, Yakov V.",Georg-August-Universität Göttingen,deu,879,10786,47,24.98213133271955,440,6238,4.543623523028185,6576,0.1336,2,88035,A5062508940,2
"Smith, Pete",University of Aberdeen,gbr,697,10543,50,20.9310528947309,281,3205,4.44957538253124,7967,0.0625,3,88035,https://openalex.org/A5028843362,22
"Lehmann, Johannes C.",Institute for Advanced Study of Technical University of Munich,deu,361,8693,44,17.50647019245931,166,4256,4.441514249909753,5650,0.0418,4,88035,https://openalex.org/A5042699954,21
"Jones, Davey Leonard",Bangor University,gbr,718,6331,38,16.46694064895677,400,3183,4.12973492494053,5026,0.0953,5,88035,https://openalex.org/A5064381910,21
"Cakmak, Ismail",Sabancı Üniversitesi,tur,255,2453,22,14.29010660392239,141,1734,4.021745656990883,1604,0.0583,6,88035,https://openalex.org/A5065205022,1
"Kógel-Knabner, Ingrid",Technische Universität München,deu,373,4305,27,13.85600568014361,251,2299,3.97726949653667,2914,0.0609,7,88035,https://openalex.org/A5025732296,1
"Schimel, Joshua P.","University of California, Santa Barbara",usa,205,3350,27,13.84380192820595,122,1354,3.961428934090101,2522,0.045,8,88035,https://openalex.org/A5020677883,1
"van der Heijden, Marcel G.A.",Universität Zürich,che,179,5946,32,13.89155156700528,90,3587,3.953949340976133,4404,0.0303,9,88035,https://openalex.org/A5053031318,21
"Pretty, Jules N.","Essex County Council, United Kingdom",gbr,199,2647,20,12.22365821163775,143,1454,3.950000325892495,2430,0.016,10,88035,https://openalex.org/A5070319534,1
"Blanco-Canqui, Humberto",University of Nebraska–Lincoln,usa,167,1524,19,12.9468253968254,113,1319,3.897952370069881,1160,0.0558,11,88035,,01
"Six, Johan W.",ETH Zürich,che,477,6799,37,16.53305139859132,212,3717,3.894144601826168,4613,0.05860000000000001,12,88035,,01
"Sinsabaugh, Robert L.",The University of New Mexico,usa,151,2884,21,11.59709595959596,85,1571,3.871789196360019,1590,0.0316,13,88035,,01
"Marschner, Petra",The University of Adelaide,aus,287,1743,18,11.16186371100164,199,1187,3.835405828979801,1554,0.0279,14,88035,,01
"Altieri, Miguel Angel","Department of Environmental Science, Policy, and Management",usa,169,1341,18,11.54375,142,1160,3.804417159697931,1073,0.0169,15,88035,,01
"Barbedo, Jayme G.A.",Embrapa Agricultura Digital,bra,70,925,16,11.45882352941176,55,824,3.77471085143483,787,0.0232,16,88035,,01
"Thornton, Philip K.",International Livestock Research Institute Nairobi,ken,214,2810,27,10.98037569540067,99,834,3.773683830247096,2358,0.0478,17,88035,,01
"Brookes, Philip Charles",Rothamsted Research,gbr,275,5095,27,12.89889277389277,124,1494,3.771169731725567,3987,0.0234,18,88035,,01
"Liang, Chao","Institute of Applied Ecology, Chinese Academy of Sciences",chn,166,3025,27,10.78372044622045,58,1505,3.760264782649096,1622,0.1026,19,88035,,0
"Panagos, Panos",European Commission Joint Research Centre,bel,216,3921,32,12.21058757164283,111,2404,3.755346939120489,2592,0.1019,20,88035,,01
"Turner, Benjamin L.",Gyeongsang National University,kor,351,2939,26,12.9268469785575,147,1020,3.748748761714072,2323,0.1195,21,88035,,01
"Giller, Ken E.",Wageningen University & Research,nld,474,2625,25,10.8531074317839,353,1915,3.741400295871611,2144,0.0517,22,88035,,01
"Etesami, Hassan",University of Tehran,irn,133,1421,18,11.89444444444444,76,1018,3.733771313229778,1198,0.08380000000000001,23,88035,,01
"Joergensen, Rainer Georg",Universität Kassel,deu,293,1659,19,10.22738095238095,185,1108,3.71968019227214,1226,0.0809,24,88035,,01
"Cerdà, A.",Universitat de València,esp,381,3050,26,10.86811927578348,214,1536,3.698972642809425,2479,0.0876,25,88035,,01
"Chauhan, Bhagirath Singh",The University of Queensland,aus,458,1844,17,11.54265873015873,383,1550,3.690643766249757,1329,0.0663,26,88035,,01
"Rengel, Z.",The University of Western Australia,aus,565,2951,23,12.95161962220785,293,1275,3.684066232020363,2495,0.06849999999999999,27,88035,,01
"Bremner, John M.",Iowa State University,usa,163,1207,13,11.0,182,1196,3.682764293969462,1121,0.0,28,88035,a5072939972,2
"McBratney, Alex B.",The University of Sydney,aus,490,4303,33,15.31400042627877,272,2229,3.678536513871032,2860,0.07440000000000001,29,88035,https://openalex.org/A5049220423,21
"Frey, Serita D.",University of New Hampshire Durham,usa,156,2883,28,10.57132417833764,54,676,3.659235847162294,2065,0.0848,30,88035,https://openalex.org/A5022401188,1
